tuples,threads,ms
5,1,815
5,2,596
5,4,512
5,8,516
9,1,1202
9,2,941
9,4,818
9,8,837
13,1,1598
13,2,1345
13,4,1156
13,8,1159
17,1,2390
17,2,1751
17,4,1452
17,8,1426
21,1,3031
21,2,2097
21,4,1809
21,8,1826
