tuples,threads,ms
1,1,177
1,2,151
1,4,138
1,8,144
3,1,552
3,2,386
3,4,323
3,8,325
7,1,906
7,2,642
7,4,543
7,8,532
15,1,1543
15,2,1148
15,4,1001
15,8,980
31,1,2798
31,2,2190
31,4,1944
31,8,1876
63,1,6723
63,2,4786
63,4,3972
63,8,3798
