tuples,threads,ms
5,1,688
5,2,491
5,4,428
5,8,409
5,16,433
5,32,472
9,1,1021
9,2,755
9,4,640
9,8,626
9,16,662
9,32,716
13,1,1349
13,2,1012
13,4,882
13,8,880
13,16,912
13,32,998
17,1,1685
17,2,1258
17,4,1124
17,8,1115
17,16,1179
17,32,1298
21,1,2045
21,2,1548
21,4,1383
21,8,1394
21,16,1473
21,32,1679

