threads,ms
1,1474
1,1489
1,1323
1,1366
1,1374
1,1084
1,908
1,881
1,914
1,1002
2,831
2,831
2,867
2,861
2,752
2,754
2,768
2,738
2,806
2,878
4,923
4,870
4,888
4,927
4,1011
4,905
4,969
4,913
4,930
4,978
8,1032
8,1011
8,861
8,1000
8,1037
8,1072
8,1035
8,971
8,1019
8,1019
