threads,ms
1,1458
1,1442
1,1465
1,1476
1,1445
1,1444
1,1473
1,1446
1,1445
1,1442
2,1099
2,1093
2,1103
2,1105
2,1098
2,1096
2,1104
2,1089
2,1099
2,1115
4,958
4,948
4,961
4,961
4,952
4,958
4,980
4,967
4,930
4,957
8,944
8,978
8,926
8,972
8,932
8,946
8,942
8,929
8,947
8,935
16,982
16,983
16,989
16,991
16,984
16,999
16,991
16,989
16,975
16,983
