threads,ms
1,2022
1,1995
1,2028
1,1962
1,2046
1,2000
1,1762
1,2006
1,1837
1,2040
2,1274
2,1336
2,1262
2,1355
2,1349
2,1373
2,1374
2,1377
2,1372
2,1367
4,1039
4,1052
4,1028
4,1017
4,1070
4,1040
4,1046
4,1050
4,1015
4,1052
8,1023
8,1030
8,1017
8,1022
8,985
8,1027
8,1057
8,1010
8,1014
8,998
