1 threads,2262ms
1 threads,2241ms
1 threads,2319ms
1 threads,2268ms
1 threads,2281ms
1 threads,2267ms
1 threads,2342ms
1 threads,2325ms
1 threads,2242ms
1 threads,2184ms
2 threads,1556ms
2 threads,1698ms
2 threads,1716ms
2 threads,1728ms
2 threads,1702ms
2 threads,1744ms
2 threads,1655ms
2 threads,1694ms
2 threads,1727ms
2 threads,1561ms
4 threads,1449ms
4 threads,1410ms
4 threads,1424ms
4 threads,1426ms
4 threads,1424ms
4 threads,1417ms
4 threads,1374ms
4 threads,1386ms
4 threads,1444ms
4 threads,1400ms
8 threads,1376ms
8 threads,1362ms
8 threads,1348ms
8 threads,1335ms
8 threads,1341ms
8 threads,1313ms
8 threads,1321ms
8 threads,1350ms
8 threads,1316ms
8 threads,1297ms
16 threads,1334ms
16 threads,1350ms
16 threads,1348ms
16 threads,1340ms
16 threads,1349ms
16 threads,1340ms
16 threads,1341ms
16 threads,1317ms
16 threads,1365ms
16 threads,1321ms
