1 threads,2213ms
1 threads,2270ms
1 threads,2244ms
1 threads,2285ms
1 threads,2307ms
1 threads,2216ms
1 threads,2242ms
1 threads,2225ms
1 threads,2217ms
1 threads,2264ms
2 threads,1646ms
2 threads,1608ms
2 threads,1656ms
2 threads,1654ms
2 threads,1554ms
2 threads,1635ms
2 threads,1636ms
2 threads,1666ms
2 threads,1659ms
2 threads,1610ms
4 threads,1377ms
4 threads,1375ms
4 threads,1364ms
4 threads,1361ms
4 threads,1369ms
4 threads,1369ms
4 threads,1384ms
4 threads,1352ms
4 threads,1364ms
4 threads,1370ms
8 threads,1460ms
8 threads,1451ms
8 threads,1452ms
8 threads,1521ms
8 threads,1451ms
8 threads,1447ms
8 threads,1443ms
8 threads,1510ms
8 threads,1493ms
8 threads,1525ms
16 threads,1870ms
16 threads,1858ms
16 threads,1966ms
16 threads,1933ms
16 threads,1942ms
16 threads,1900ms
16 threads,1964ms
16 threads,1955ms
16 threads,2023ms
16 threads,1835ms
