1 threads,2295ms
1 threads,2270ms
1 threads,2211ms
1 threads,2255ms
1 threads,2243ms
1 threads,2264ms
1 threads,2280ms
1 threads,2210ms
1 threads,2260ms
1 threads,2323ms
2 threads,1621ms
2 threads,1685ms
2 threads,1631ms
2 threads,1564ms
2 threads,1667ms
2 threads,1597ms
2 threads,1559ms
2 threads,1575ms
2 threads,1611ms
2 threads,1615ms
4 threads,1372ms
4 threads,1318ms
4 threads,1269ms
4 threads,1320ms
4 threads,1294ms
4 threads,1351ms
4 threads,1371ms
4 threads,1288ms
4 threads,1346ms
4 threads,1299ms
8 threads,1291ms
8 threads,1290ms
8 threads,1268ms
8 threads,1262ms
8 threads,1323ms
8 threads,1257ms
8 threads,1268ms
8 threads,1230ms
8 threads,1290ms
8 threads,1266ms
16 threads,1237ms
16 threads,1308ms
16 threads,1258ms
16 threads,1198ms
16 threads,1224ms
16 threads,1279ms
16 threads,1244ms
16 threads,1229ms
16 threads,1286ms
16 threads,1236ms
