1 threads,2279ms
1 threads,2287ms
1 threads,2252ms
1 threads,2254ms
1 threads,2240ms
1 threads,2260ms
1 threads,2178ms
1 threads,2211ms
1 threads,2239ms
1 threads,2276ms
2 threads,1595ms
2 threads,1691ms
2 threads,1616ms
2 threads,1593ms
2 threads,1635ms
2 threads,1650ms
2 threads,1619ms
2 threads,1636ms
2 threads,1638ms
2 threads,1631ms
4 threads,1381ms
4 threads,1374ms
4 threads,1392ms
4 threads,1415ms
4 threads,1366ms
4 threads,1379ms
4 threads,1363ms
4 threads,1385ms
4 threads,1398ms
4 threads,1343ms
8 threads,1365ms
8 threads,1372ms
8 threads,1354ms
8 threads,1394ms
8 threads,1418ms
8 threads,1383ms
8 threads,1394ms
8 threads,1379ms
8 threads,1317ms
8 threads,1395ms
16 threads,1450ms
16 threads,1461ms
16 threads,1441ms
16 threads,1472ms
16 threads,1411ms
16 threads,1459ms
16 threads,1488ms
16 threads,1470ms
16 threads,1448ms
16 threads,1486ms
