tuples,threads,ms
3,1,598
3,2,460
3,4,330
3,8,227
3,16,196
3,32,191
7,1,795
7,2,571
7,4,360
7,8,287
7,16,254
7,32,255
15,1,1286
15,2,881
15,4,613
15,8,486
15,16,447
15,32,423
31,1,2335
31,2,1600
31,4,983
31,8,819
31,16,787
31,32,794
63,1,3640
63,2,2884
63,4,1675
63,8,1320
63,16,1392
63,24,1362
63,32,1446
127,1,8144
127,2,5400
127,4,3188
127,8,3433
127,16,3617
127,24,3546
127,32,3755
