tuples,threads,ms
5,1,655
5,2,505
5,4,340
5,8,252
5,16,224
5,32,218
9,1,840
9,2,634
9,4,424
9,8,335
9,16,290
9,32,313
13,1,1207
13,2,811
13,4,538
13,8,435
13,16,407
13,32,392
17,1,1477
17,2,960
17,4,656
17,8,518
17,16,485
17,32,501
21,1,1767
21,2,1117
21,4,749
21,8,613
21,16,596
21,32,580

